Order ID,Payment Method,Card Issuer
4243847,cashless,CAIXA ECONOMICA MONTEPIO GERAL
4253847,cashless,MONZO BANK LIMITED
4263847,cashless,CAIXA GERAL DE DEPOSITOS SA
4273847,cashless,NOVO BANCO S.A.
4283847,cashless,CAIXABANK PAYMENTS & CONSUMER E.F.C. E.P. S.A.U.
4293847,cashless,BANCO COMERCIAL PORTUGUES S.A.
4303847,cashless,BANCO COMERCIAL PORTUGUES S.A.
4313847,cashless,CAIXA GERAL DE DEPOSITOS S.A.
4323847,cashless,BANKINTER S.A.
4333848,cashless,BANCO COMERCIAL PORTUGUES S.A.
4343848,cashless,MONTEPIO GERAL - CAIXA ECONOMI
4353848,cashless,CAIXABANK S.A.
4363848,cashless,BANCO SANTANDER TOTTA S.A.
4373848,cashless,BANCO SANTANDER TOTTA S.A.
4383848,cashless,NOVO BANCO S.A.
4393848,cashless,BANCO COMERCIAL PORTUGUES S.A.
4403848,cashless,WIZINK BANK S.A
4413848,cashless,CAIXA ECONOMICA MONTEPIO GERAL
4423848,cashless,BANCO COMERCIAL PORTUGUES S.A.
481349,cashless,
491349,cashless,"METABANK, NATIONAL ASSOCIATION"
4433849,cashless,MONZO BANK LIMITED
4443849,cashless,BANCO COMERCIAL PORTUGUES S.A.
4453849,cashless,BANCO SANTANDER TOTTA S.A.
4463849,cashless,UNICRE - INSTITUICAO FINANCEIRA DE CREDITO S.A.
501349,cash,
4473849,cashless,BANCO SANTANDER TOTTA S.A.
4483849,cashless,CAIXA GERAL DE DEPOSITOS S.A.
4493849,cashless,BANCO COMERCIAL PORTUGUES S.A.
511350,cashless,
4503850,cashless,NOVO BANCO S.A.
4513850,cashless,BANCO COMERCIAL PORTUGUES S.A.
4523850,cashless,BANCO COMERCIAL PORTUGUES S.A.
4533850,cashless,ITAU UNIBANCO S.A.
521350,cashless,COASTAL COMMUNITY BANK
4543850,cashless,BANCO COMERCIAL PORTUGUES S.A.
4553850,cashless,N26 GMBH
4563850,cashless,CAIXA GERAL DE DEPOSITOS S.A.
4573850,cashless,REVOLUT LTD
4583851,cashless,BANCO COMERCIAL PORTUGUES S.A.
4593851,cashless,"SFS -FINANCIAL SERVICES, IME,"
4603851,cashless,CAIXABANK PAYMENTS & CONSUMER E.F.C. E.P. S.A.U.
4613851,cashless,TRANSFERWISE LTD
4623851,cashless,BANCO COMERCIAL PORTUGUES S.A.
4633851,cashless,BANCO INTER S.A.
4643851,cashless,BUNQ B.V.
4653851,cashless,CAIXABANK S.A.
531351,cashless,CITIBANK N.A.
4663851,cashless,BANCO COMERCIAL PORTUGUES S.A.
4673852,cashless,BANCO BIC PORTUGUES S.A.
4683852,cashless,CAIXA GERAL DE DEPOSITOS S.A.
4693852,cashless,"SFS -FINANCIAL SERVICES, IME,"
4703852,cashless,COMDIRECT BANK AG
541352,cash,MONZO BANK LIMITED
4713852,cashless,BANCO SANTANDER TOTTA S.A.
4723852,cashless,MONTEPIO GERAL - CAIXA ECONOMI
4733852,cashless,BANCO COMERCIAL PORTUGUES S.A.
551352,cashless,
4743852,cashless,CAIXA CENTRAL DE CREDITO AGRIC
4753853,cashless,BANKINTER S.A.
4763853,cashless,BANCO COMERCIAL PORTUGUES S.A.
4773853,cashless,BANCO COMERCIAL PORTUGUES S.A.
4783853,cashless,BANCO COMERCIAL PORTUGUES S.A.
4793853,cashless,BANCO COMERCIAL PORTUGUES S.A.
4803853,cashless,BPCE
561353,cash,
4813853,cashless,BANCO SANTANDER TOTTA S.A.
571353,cash,
